"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
0,135.97075037186,0,0,164.683073413257,88.6730220719939,101.605767615936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.97075037186,0,84.7711950979421,0,0,107.02303670289,81.1543822468319,115.554583796499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84.7711950979421,0,75.4845969594037,0,0,107.132112342018,79.3907138916856,125.77345986771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,75.4845969594037,0,0,0,0,136.322485657961,99.5085316339848,112.939505917263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.683073413257,0,0,0,0,106.416059744288,0,0,0,0,87.9865142574404,64.546163974952,113.587999261184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.6730220719939,107.02303670289,0,0,106.416059744288,0,72.5963539469662,0,0,0,0,150.545712633689,74.3246479199205,108.133125518949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.605767615936,81.1543822468319,107.132112342018,0,0,72.5963539469662,0,81.0268010405753,0,0,0,0,93.6377934638623,102.127771062891,171.834143443821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,115.554583796499,79.3907138916856,136.322485657961,0,0,81.0268010405753,0,116.133648566267,0,0,0,0,164.999872612558,107.283344993488,194.127735588328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,125.77345986771,99.5085316339848,0,0,0,116.133648566267,0,104.186668825569,0,0,0,0,151.772490969512,89.493181564352,121.124529662759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,112.939505917263,0,0,0,0,104.186668825569,0,0,0,0,0,0,104.35435584763,85.7028039460376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,87.9865142574404,0,0,0,0,0,0,131.994167146841,0,0,0,0,0,94.114123548369,132.346466173898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64.546163974952,150.545712633689,0,0,0,0,131.994167146841,0,157.729452150585,0,0,0,0,142.759273265881,83.3493158914098,165.209827900278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113.587999261184,74.3246479199205,93.6377934638623,0,0,0,0,157.729452150585,0,129.328465035845,0,0,0,0,89.9293511776417,98.4688631865102,169.675905172731,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,108.133125518949,102.127771062891,164.999872612558,0,0,0,0,129.328465035845,0,106.496415015804,0,0,0,0,194.166440785539,98.9798827717595,110.924679825563,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,171.834143443821,107.283344993488,151.772490969512,0,0,0,0,106.496415015804,0,230.522277991574,0,0,0,0,121.356155152689,116.927552206493,143.710131700132,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,194.127735588328,89.493181564352,104.35435584763,0,0,0,0,230.522277991574,0,105.340616684821,0,0,0,0,192.047542801333,96.0395222949716,105.263110617752,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,121.124529662759,85.7028039460376,0,0,0,0,0,105.340616684821,0,0,0,0,0,0,133.041870393379,108.533258716159,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,94.114123548369,142.759273265881,0,0,0,0,0,0,105.902272292938,0,0,0,0,0,91.1425039571645,163.877926990571,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,132.346466173898,83.3493158914098,89.9293511776417,0,0,0,0,105.902272292938,0,101.571026927335,0,0,0,0,156.852546582694,114.5491696161,122.3215891705,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,165.209827900278,98.4688631865102,194.166440785539,0,0,0,0,101.571026927335,0,106.883980922424,0,0,0,0,102.201281624969,109.973701179368,238.728593100616,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,169.675905172731,98.9798827717595,121.356155152689,0,0,0,0,106.883980922424,0,83.3616199624485,0,0,0,0,181.143043165588,172.171835086837,117.213773380307,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,110.924679825563,116.927552206493,192.047542801333,0,0,0,0,83.3616199624485,0,91.7363965098912,0,0,0,0,154.380932140641,99.4228704341111,135.955523090653,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.710131700132,96.0395222949716,133.041870393379,0,0,0,0,91.7363965098912,0,90.2147643263101,0,0,0,0,154.43884992775,104.175102584291,145.042355910938,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.263110617752,108.533258716159,0,0,0,0,0,90.2147643263101,0,0,0,0,0,0,96.8215909070716,137.688844233718,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1425039571645,156.852546582694,0,0,0,0,0,0,81.5498012803273,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.877926990571,114.5491696161,102.201281624969,0,0,0,0,81.5498012803273,0,101.041043868133,0,0,0,0,137.859849440279,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.3215891705,109.973701179368,181.143043165588,0,0,0,0,101.041043868133,0,233.80305534378,0,0,0,95.2784689946786,117.423271005847,0
